cluster_id,feature,system,evidence_tier,qualification,literature_direction,cluster_zscore,cluster_direction,p_value,q_value_fdr,stat_significance,effect_size_name,effect_size_val,concordance,limitation_qualification
1,LBXSTR,Lipid metabolism,"A — direct, male-specific",Male-specific (Kapha males),Higher,-0.327154725415252,Lower,1.7544189006223703e-115,6.666791822365007e-115,q < 0.05,Cohen's d,0.7662968640369454,Discordant,Higher TG reported in Kapha males; cited sample was young adults.
1,LBXSATSI,Hepatic / biliary,"A — direct, male-specific",Male-specific ALT (Kapha males),Higher,-0.2118641995377822,Lower,1.534214078430237e-50,3.643758436271813e-50,q < 0.05,Cohen's d,0.4764948547762748,Discordant,Higher ALT reported in Kapha males; retain sex qualification.
1,LBXSAL,Hepatic / biliary,C — weak/speculative,Albumin,Exploratory / Unspecified,0.2221982935256627,Higher,2.882272672955841e-60,9.127196797693496e-60,q < 0.05,Cohen's d,-0.5011502708907283,Unclear / Insufficient Evidence,General clinical relevance only.
1,LBXSTP,Hepatic / biliary,C — weak/speculative,Total protein,Exploratory / Unspecified,0.059780198688914106,Near cohort reference,1.2565627256379229e-05,1.4043936345365019e-05,q < 0.05,Cohen's d,-0.13109171140414752,Unclear / Insufficient Evidence,No direct association established.
1,LBXSTB,Hepatic / biliary,B — indirect,Total bilirubin (Pitta biliary/pigmentation),Higher,0.0688351000667986,Near cohort reference,3.5464382317162243e-07,4.4921550935072173e-07,q < 0.05,Cohen's d,-0.15105320345500647,Unclear / Insufficient Evidence,Functional alignment; empirical source showed no baseline elevation.
1,LBXSCR,Renal / waste clearance,B — indirect,Creatinine,Exploratory / Unspecified,-0.16830861451204313,Near cohort reference,1.4278119890883182e-30,2.4662207084252767e-30,q < 0.05,Cohen's d,0.374660616602089,Unclear / Insufficient Evidence,No baseline difference established across groups.
1,LBXSUA,Renal / waste clearance,"A — direct, male-specific",Male-specific (Kapha males),Higher,-0.40721657374656883,Lower,5.536898823699378e-206,2.6300269412572044e-205,q < 0.05,Cohen's d,0.9944764648118782,Discordant,Higher serum uric acid reported in Kapha males.
1,LBXSBU,Renal / waste clearance,B — indirect,Blood urea nitrogen,Exploratory / Unspecified,-0.186424967786823,Near cohort reference,6.319218572623974e-40,1.3340572542206168e-39,q < 0.05,Cohen's d,0.41663839099559824,Unclear / Insufficient Evidence,"Physiologically relevant, no direct baseline association."
1,LBXSCA,Electrolytes / minerals,C — weak/speculative,Calcium,Exploratory / Unspecified,0.11698401452208242,Near cohort reference,1.446822363549311e-17,2.2908020756197427e-17,q < 0.05,Cohen's d,-0.2580961994051922,Unclear / Insufficient Evidence,Tightly homeostatically regulated; no established association.
1,LBXSPH,Electrolytes / minerals,"B — indirect, female-specific",Female-specific (Pitta females),Higher,0.06507901782248024,Near cohort reference,2.3762702273710903e-06,2.82182089500317e-06,q < 0.05,Cohen's d,-0.14276785913518866,Unclear / Insufficient Evidence,Higher phosphorus reported in Pitta females; substantial variance.
1,LBXSNASI,Electrolytes / minerals,C — weak/speculative,Sodium,Exploratory / Unspecified,-0.008774515284577051,Near cohort reference,0.5252092222874025,0.5252092222874025,q >= 0.05,Cohen's d,0.019201556953655944,Unclear / Insufficient Evidence,Strong homeostatic regulation.
1,LBXSKSI,Electrolytes / minerals,C — weak/speculative,Potassium,Exploratory / Unspecified,-0.07978303672270996,Near cohort reference,7.559108078370709e-09,1.0258789534931677e-08,q < 0.05,Cohen's d,0.17524810944701522,Unclear / Insufficient Evidence,Not a Dosha biomarker; tightly regulated.
