matrix,N,dimensionality,min_cluster_size,min_samples,number_of_clusters_excluding_noise,number_of_noise_points,noise_fraction,number_of_non_noise_points,non_noise_fraction,cluster_sizes,minimum_cluster_size_actual,maximum_cluster_size_actual,min_cluster_proportion_cohort,max_cluster_proportion_cohort,mean_cluster_proportion_non_noise,silhouette_non_noise,calinski_harabasz_non_noise,davies_bouldin_non_noise,mean_prob_non_noise,median_prob_non_noise,mean_prob_all,runtime_seconds,sklearn_version
A_RAW,4482,19,10,3,3,3843,0.8574,639,0.1426,"{""0"": 11, ""1"": 618, ""2"": 10}",10,618,0.00223,0.13788,0.33333,0.024,8.5,1.96,0.9757,0.9797,0.1391,4.631,1.4.1.post1
A_RAW,4482,19,10,5,2,4357,0.9721,125,0.0279,"{""0"": 10, ""1"": 115}",10,115,0.00223,0.02566,0.5,0.1214,9.53,1.689,0.9932,1.0,0.0277,5.98,1.4.1.post1
A_LOG,4482,19,3,2,3,81,0.0181,4401,0.9819,"{""0"": 3, ""1"": 4393, ""2"": 5}",3,4393,0.00067,0.98014,0.33333,0.2874,12.06,1.076,0.9976,1.0,0.9796,4.932,1.4.1.post1
A_LOG,4482,19,3,3,3,428,0.0955,4054,0.9045,"{""0"": 3, ""1"": 4046, ""2"": 5}",3,4046,0.00067,0.90272,0.33333,0.2621,10.2,1.114,0.9825,1.0,0.8887,4.125,1.4.1.post1
A_LOG,4482,19,3,5,2,1228,0.274,3254,0.726,"{""0"": 3250, ""1"": 4}",4,3250,0.00089,0.72512,0.5,0.2077,8.15,1.018,0.9655,1.0,0.701,4.669,1.4.1.post1
A_LOG,4482,19,5,2,3,300,0.0669,4182,0.9331,"{""0"": 5, ""1"": 4172, ""2"": 5}",5,4172,0.00112,0.93083,0.33333,0.2549,11.8,1.336,0.9869,1.0,0.9208,5.049,1.4.1.post1
A_LOG,4482,19,5,3,2,431,0.0962,4051,0.9038,"{""0"": 4046, ""1"": 5}",5,4046,0.00112,0.90272,0.5,0.275,12.24,0.993,0.9825,1.0,0.888,4.105,1.4.1.post1
A_LOG,4482,19,5,5,4,4425,0.9873,57,0.0127,"{""0"": 5, ""1"": 6, ""2"": 26, ""3"": 20}",5,26,0.00112,0.0058,0.25,0.1735,14.98,1.477,0.985,0.9951,0.0125,6.675,1.4.1.post1
A_LOG,4482,19,7,2,2,1058,0.2361,3424,0.7639,"{""0"": 3417, ""1"": 7}",7,3417,0.00156,0.76238,0.5,0.2316,14.99,1.055,0.9937,1.0,0.7591,6.007,1.4.1.post1
A_LOG,4482,19,7,3,3,3764,0.8398,718,0.1602,"{""0"": 7, ""1"": 698, ""2"": 13}",7,698,0.00156,0.15573,0.33333,-0.0089,6.95,1.975,0.9951,1.0,0.1594,4.0,1.4.1.post1
A_LOG,4482,19,7,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}",20,26,0.00446,0.0058,0.5,0.3009,25.63,1.273,0.984,0.9857,0.0101,4.095,1.4.1.post1
A_LOG,4482,19,10,2,3,3406,0.7599,1076,0.2401,"{""0"": 13, ""1"": 1044, ""2"": 19}",13,1044,0.0029,0.23293,0.33333,-0.0022,10.08,2.159,0.9958,1.0,0.2391,3.886,1.4.1.post1
A_LOG,4482,19,10,3,2,3771,0.8414,711,0.1586,"{""0"": 698, ""1"": 13}",13,698,0.0029,0.15573,0.5,0.0318,8.58,2.028,0.9684,0.9678,0.1536,4.552,1.4.1.post1
A_LOG,4482,19,10,5,2,4436,0.9897,46,0.0103,"{""0"": 26, ""1"": 20}",20,26,0.00446,0.0058,0.5,0.3009,25.63,1.273,0.9899,0.9956,0.0102,5.71,1.4.1.post1
B_RAW,967,24,3,2,4,99,0.1024,868,0.8976,"{""0"": 3, ""1"": 3, ""2"": 859, ""3"": 3}",3,859,0.0031,0.88831,0.25,0.1545,5.64,1.169,0.9884,1.0,0.8872,0.312,1.4.1.post1
B_RAW,967,24,3,3,3,553,0.5719,414,0.4281,"{""0"": 3, ""1"": 408, ""2"": 3}",3,408,0.0031,0.42192,0.33333,0.0366,4.03,1.304,0.9681,0.9789,0.4145,0.245,1.4.1.post1
B_RAW,967,24,3,5,3,920,0.9514,47,0.0486,"{""0"": 10, ""1"": 32, ""2"": 5}",5,32,0.00517,0.03309,0.33333,0.2012,10.66,1.402,0.9678,0.9695,0.047,0.217,1.4.1.post1
B_RAW,967,24,5,2,2,667,0.6898,300,0.3102,"{""0"": 294, ""1"": 6}",6,294,0.0062,0.30403,0.5,0.0806,5.75,1.642,0.9984,1.0,0.3097,0.217,1.4.1.post1
B_RAW,967,24,5,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}",16,95,0.01655,0.09824,0.5,0.1289,12.13,1.936,0.9871,1.0,0.1133,0.261,1.4.1.post1
B_RAW,967,24,5,5,3,920,0.9514,47,0.0486,"{""0"": 10, ""1"": 32, ""2"": 5}",5,32,0.00517,0.03309,0.33333,0.2012,10.66,1.402,0.9774,0.9845,0.0475,0.214,1.4.1.post1
B_RAW,967,24,7,2,3,803,0.8304,164,0.1696,"{""0"": 29, ""1"": 126, ""2"": 9}",9,126,0.00931,0.1303,0.33333,0.1054,14.64,2.056,0.9889,1.0,0.1677,0.243,1.4.1.post1
B_RAW,967,24,7,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}",16,95,0.01655,0.09824,0.5,0.1289,12.13,1.936,0.9871,1.0,0.1133,0.259,1.4.1.post1
B_RAW,967,24,7,5,2,919,0.9504,48,0.0496,"{""0"": 10, ""1"": 38}",10,38,0.01034,0.0393,0.5,0.2309,12.93,1.426,0.9716,0.9815,0.0482,0.279,1.4.1.post1
B_RAW,967,24,10,2,2,791,0.818,176,0.182,"{""0"": 147, ""1"": 29}",29,147,0.02999,0.15202,0.5,0.114,17.16,2.225,0.9863,1.0,0.1795,0.262,1.4.1.post1
B_RAW,967,24,10,3,2,856,0.8852,111,0.1148,"{""0"": 95, ""1"": 16}",16,95,0.01655,0.09824,0.5,0.1289,12.13,1.936,0.9265,0.9161,0.1064,0.298,1.4.1.post1
B_RAW,967,24,10,5,2,919,0.9504,48,0.0496,"{""0"": 10, ""1"": 38}",10,38,0.01034,0.0393,0.5,0.2309,12.93,1.426,0.9777,0.9913,0.0485,0.296,1.4.1.post1
B_LOG,967,24,3,2,2,70,0.0724,897,0.9276,"{""0"": 894, ""1"": 3}",3,894,0.0031,0.92451,0.5,0.1975,5.09,1.219,0.9928,1.0,0.9209,0.384,1.4.1.post1
B_LOG,967,24,3,3,2,468,0.484,499,0.516,"{""0"": 494, ""1"": 5}",5,494,0.00517,0.51086,0.5,0.0573,4.53,1.66,0.9922,1.0,0.512,0.4,1.4.1.post1
B_LOG,967,24,3,5,4,902,0.9328,65,0.0672,"{""0"": 4, ""1"": 45, ""2"": 13, ""3"": 3}",3,45,0.0031,0.04654,0.25,0.1736,9.51,1.461,0.9375,0.9307,0.063,0.343,1.4.1.post1
B_LOG,967,24,5,2,3,362,0.3744,605,0.6256,"{""0"": 5, ""1"": 595, ""2"": 5}",5,595,0.00517,0.61531,0.33333,-0.0379,4.49,1.661,0.9625,0.9775,0.6022,0.392,1.4.1.post1
B_LOG,967,24,5,3,2,468,0.484,499,0.516,"{""0"": 494, ""1"": 5}",5,494,0.00517,0.51086,0.5,0.0573,4.53,1.66,0.9482,0.9501,0.4893,0.412,1.4.1.post1
B_LOG,967,24,5,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}",18,45,0.01861,0.04654,0.5,0.2259,18.64,1.583,0.9498,0.9455,0.0619,0.329,1.4.1.post1
B_LOG,967,24,7,2,5,778,0.8046,189,0.1954,"{""0"": 7, ""1"": 130, ""2"": 10, ""3"": 32, ""4"": 10}",7,130,0.00724,0.13444,0.2,0.0715,12.7,2.319,0.996,1.0,0.1947,0.313,1.4.1.post1
B_LOG,967,24,7,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}",43,83,0.04447,0.08583,0.5,0.1912,31.49,1.846,0.9432,0.9459,0.1229,0.214,1.4.1.post1
B_LOG,967,24,7,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}",18,45,0.01861,0.04654,0.5,0.2259,18.64,1.583,0.9744,0.976,0.0635,0.216,1.4.1.post1
B_LOG,967,24,10,2,4,785,0.8118,182,0.1882,"{""0"": 130, ""1"": 10, ""2"": 32, ""3"": 10}",10,130,0.01034,0.13444,0.25,0.0885,14.8,2.258,0.9456,0.9376,0.178,0.213,1.4.1.post1
B_LOG,967,24,10,3,2,841,0.8697,126,0.1303,"{""0"": 43, ""1"": 83}",43,83,0.04447,0.08583,0.5,0.1912,31.49,1.846,0.9634,0.9652,0.1255,0.214,1.4.1.post1
B_LOG,967,24,10,5,2,904,0.9349,63,0.0651,"{""0"": 18, ""1"": 45}",18,45,0.01861,0.04654,0.5,0.2259,18.64,1.583,0.9747,0.976,0.0635,0.248,1.4.1.post1
